ORDER_DATE,SALES,PROFIT
2018-10-04,980.0,194.53
2018-10-04,931.0,171.64
2018-10-04,490.0,97.27
2018-10-04,980.0,194.53
2018-10-11,200.0,-305.47
2018-10-12,100.0,-152.73
2018-10-04,980.0,194.53
2018-10-10,200.0,-305.47
2018-10-04,1396.5,257.46
2018-10-11,300.0,-458.2
2018-10-04,931.0,171.64
2018-10-11,200.0,-305.47
2018-10-12,100.0,-152.73
2018-11-07,490.0,97.27
2018-10-01,150.0,-106.0
2018-10-09,150.0,-106.0
2018-11-07,490.0,97.27
2018-11-07,490.0,97.27
2018-10-07,150.0,-106.0
2018-11-21,294.0,51.48
2018-10-05,150.0,-106.0
2018-10-14,150.0,-106.0
2018-10-20,150.0,-106.0
2018-11-21,294.0,51.48
2018-11-21,294.0,51.48
2018-10-02,150.0,-106.0
2018-10-07,150.0,-106.0
2018-10-20,150.0,-106.0
2018-11-21,294.0,51.48
2018-10-11,300.0,-458.2
2018-11-21,588.0,102.94
2018-10-11,200.0,-305.47
2018-10-12,100.0,-152.73
2018-10-10,200.0,-305.47
2018-10-11,100.0,-152.73
2018-10-11,200.0,-305.47
2018-10-11,100.0,-152.73
2018-10-11,300.0,-458.2
2018-10-06,150.0,-106.0
2018-10-07,150.0,-106.0
2018-10-11,150.0,-106.0
2018-10-06,150.0,-106.0
2018-10-12,150.0,-106.0
2018-10-14,150.0,-106.0
2018-10-09,150.0,-106.0
2018-10-11,150.0,-106.0
2018-07-26,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-28,100.0,-146.13
2018-07-31,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-25,100.0,-146.13
2018-08-29,100.0,-146.13
2018-07-27,300.0,-438.39
2018-07-30,100.0,-146.13
2018-08-09,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-29,100.0,-146.13
2018-08-04,100.0,-159.21
2018-07-27,100.0,-155.48
2018-07-28,100.0,-146.13
2018-08-06,100.0,-146.13
2018-08-06,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-31,100.0,-155.48
2018-07-28,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-10,100.0,-146.13
2018-08-10,100.0,-146.13
2018-08-10,100.0,-146.13
2018-07-31,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-10,100.0,-146.13
2018-07-11,100.0,-146.13
2018-07-11,100.0,-146.13
2018-07-11,200.0,-292.26
2018-07-31,100.0,-146.13
2018-07-28,100.0,-146.13
2018-07-26,100.0,-146.13
2018-08-13,100.0,-146.13
2018-07-12,100.0,-146.13
2018-08-12,100.0,-146.13
2018-07-13,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-28,100.0,-159.21
2018-07-28,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-28,100.0,-146.13
2018-08-11,100.0,-159.21
2018-07-27,100.0,-159.21
2018-07-27,100.0,-146.13
2018-08-04,100.0,-158.28
2018-07-26,100.0,-146.13
2018-07-31,100.0,-146.13
2018-07-01,100.0,-146.13
2018-09-27,300.0,-458.2
2018-07-29,100.0,-146.13
2018-07-31,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-28,100.0,-146.13
2018-07-31,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-31,100.0,-146.13
2018-08-03,100.0,-146.13
2018-08-10,200.0,-292.26
2018-08-12,100.0,-146.13
2018-07-27,200.0,-292.26
2018-07-27,300.0,-438.39
2018-08-09,100.0,-146.13
2018-07-26,100.0,-146.13
2018-08-13,100.0,-159.21
2018-08-13,100.0,-146.13
2018-09-14,100.0,-152.73
2018-09-14,100.0,-152.73
2018-09-14,100.0,-152.73
2018-09-14,200.0,-305.47
2018-07-28,100.0,-146.13
2018-07-29,100.0,-155.48
2018-07-29,100.0,-146.13
2018-08-07,100.0,-146.13
2018-08-05,100.0,-146.13
2018-07-26,200.0,-292.26
2018-07-30,100.0,-146.13
2018-07-29,100.0,-155.48
2018-07-30,100.0,-155.48
2018-07-26,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-11,100.0,-146.13
2018-08-11,100.0,-146.13
2018-07-31,100.0,-146.13
2018-08-11,100.0,-146.13
2018-08-11,100.0,-146.13
2018-07-29,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-12,100.0,-146.13
2018-07-12,100.0,-146.13
2018-07-31,100.0,-146.13
2018-07-28,100.0,-146.13
2018-08-09,100.0,-146.13
2018-08-12,100.0,-146.13
2018-07-28,100.0,-146.13
2018-07-29,100.0,-146.13
2018-07-12,100.0,-146.13
2018-08-12,200.0,-292.26
2018-07-12,100.0,-146.13
2018-07-13,100.0,-146.13
2018-07-13,200.0,-292.26
2018-07-15,100.0,-146.13
2018-07-26,100.0,-146.13
2018-08-01,100.0,-159.21
2018-07-28,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-28,100.0,-146.13
2018-07-27,100.0,-159.21
2018-07-31,100.0,-159.21
2018-07-28,100.0,-158.28
2018-07-31,100.0,-146.13
2018-08-03,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-31,100.0,-146.13
2018-08-07,100.0,-146.13
2018-07-29,100.0,-146.13
2018-07-29,100.0,-146.13
2018-09-20,100.0,-152.73
2018-09-20,100.0,-152.73
2018-09-20,100.0,-152.73
2018-09-21,100.0,-152.73
2018-07-31,100.0,-146.13
2018-08-09,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-27,200.0,-292.26
2018-07-26,100.0,-146.13
2018-07-26,100.0,-146.13
2018-08-08,490.0,103.87
2018-07-27,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-30,100.0,-159.21
2018-07-31,100.0,-159.21
2018-07-29,300.0,-438.39
2018-07-29,100.0,-146.13
2018-07-26,100.0,-146.13
2018-07-27,200.0,-292.26
2018-08-01,100.0,-155.48
2018-08-01,100.0,-155.48
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,100.0,-146.13
2018-07-09,400.0,-584.53
2018-07-27,100.0,-146.13
2018-07-26,100.0,-146.13
2018-08-04,100.0,-146.13
2018-07-15,500.0,-730.66
2018-07-26,100.0,-146.13
2018-08-09,100.0,-159.21
2018-07-27,100.0,-159.21
2018-07-27,100.0,-146.13
2018-07-28,100.0,-146.13
2018-07-30,100.0,-146.13
2018-07-31,100.0,-146.13
2018-09-29,150.0,-106.0
2018-09-29,300.0,-212.01
2018-07-27,100.0,-146.13
2018-07-28,200.0,-292.26
2018-07-27,100.0,-146.13
2018-07-27,100.0,-146.13
2018-07-28,200.0,-292.26
